"3","3","","RATITES","PALAEOGNATHAE","","","","",""
"4","4","","","ORDER STRUTHIONIFORMES","","","PHY","The ratites (paleognaths) are the sister group to the rest of living birds (neognaths).",""
"5","5","2","Ostriches","Family Struthionidae","","","","",""
"6","6","","","Struthio","Linnaeus, 1758","","","",""
"7","7","","Common Ostrich","Struthio camelus","Linnaeus, 1758","AF : w, c, e, sw","TAX","See Miller et al. (2011) re genetic structure and phylogeography of ostrich populations.",""
"8","8","†","","    S. c. syriacus","Rothschild, 1919","Syrian and Arabian deserts","","",""
"9","9","","","    S. c. camelus","Linnaeus, 1758","s Morocco and Mauritania to s Egypt, Eritrea and n, w Ethiopia, s to Cameroon and n Uganda","","",""
"10","10","","","    S. c. massaicus","Neumann, 1898","s Kenya and c Tanzania","","",""
"11","11","","","    S. c. australis","Gurney Sr, 1868","s Africa","","",""
"12","12","","Somali Ostrich","Struthio molybdophanes","Reichenow, 1883","AF : Somalia and n Kenya","AS","Genetic analyses support species recognition of Somali Ostrich and perhaps other subspecies groups (Miller et al. 2011).",""
"13","13","","","","","","","",""
"14","14","","","ORDER RHEIFORMES","","","","",""
"15","15","2","Rheas","Family Rheidae","","","","",""
"16","16","","","Rhea","Brisson, 1760","","","",""
"17","17","","Greater Rhea","Rhea americana","(Linnaeus, 1758)","SA : se","","",""
"18","18","","","    R. a. americana","(Linnaeus, 1758)","n, e Brazil","","",""
"19","19","","","    R. a. intermedia","Rothschild &amp; Chubb, C, 1914","se Brazil and Uruguay","","",""
"20","20","","","    R. a. nobilis","Brodkorb, 1939","e Paraguay","","",""
"21","21","","","    R. a. araneipes","Brodkorb, 1938","sw Brazil, e Bolivia and w Paraguay","","",""
"22","22","","","    R. a. albescens","Lynch &amp; Holmberg, 1878","ne, e Argentina","","",""
"23","23","","Lesser Rhea","Rhea pennata","d&#39;Orbigny, 1837","SA : Southern Cone","TAX, ENG","Pterocnemia merged into Rhea (SACC 348); change English name to Lesser Rhea to conform to general usage.",""
"24","24","","","    R. p. garleppi","(Chubb, C, 1913)","se Peru, sw Bolivia and nw Argentina","","",""
"25","25","","","    R. p. tarapacensis","(Chubb, C, 1913)","n Chile","","",""
"26","26","","","    R. p. pennata","d&#39;Orbigny, 1837","s Chile and wc, s Argentina","","",""
"27","27","","","","","","","",""
"28","28","","","ORDER APTERYGIFORMES","","","","",""
"29","29","5","Kiwis","Family Apterygidae","","","PHY","Kiwis are sister to the clade of emus and cassowaries/tinamous (Cracraft 2013; Prum et al. 2015).",""
"30","30","","","Apteryx","Shaw, 1813","","","",""
"31","31","","Southern Brown Kiwi","Apteryx australis","Shaw, 1813","AU : New Zealand","","",""
"32","32","","","    A. a. australis","Shaw, 1813","sw South I.","","",""
"33","33","","","    A. a. lawryi","Rothschild, 1893","Stewart I.","","",""
"34","34","","North Island Brown Kiwi","Apteryx mantelli","Bartlett, AD, 1852","AU : North I. (New Zealand)","","",""
"35","35","","Okarito Kiwi","Apteryx rowi","Tennyson, Palma, Robertson, HA, Worthy &amp; Gill, BJ, 2003","AU : w South I. (New Zealand)","","",""
"36","36","","Little Spotted Kiwi","Apteryx owenii","Gould, 1847","AU : Kapiti I., South I. (New Zealand)","","",""
